Symbol,Rate,Change %,Change,Day Low,Day High,Base Currency,Quote Currency,Timestamp
BRL/CAD,0.23606,0.25238,0.000594275778,0.23319,0.23622,BRL,CAD,1736432745
BRL/CHF,0.1494,0.30851,0.0004595,0.1478,0.1496,BRL,CHF,1736432798
BRL/CLP,164.0611,0.16552,0.2711,162.0632,164.1493,BRL,CLP,1736432798
BRL/COP,708.73,0.47207,3.33,702.03,709.62,BRL,COP,1736432798
BRL/EUR,0.159,0.34078,0.00054,0.1573,0.1592,BRL,EUR,1736432745
BRL/GBP,0.13327,0.81654,0.00107938,0.13191,0.1338,BRL,GBP,1736432797
BRL/HKD,1.27598,0.36798,0.00467818,1.26135,1.27676,BRL,HKD,1736432745
BRL/JPY,25.87,-0.08496833,-0.022,25.6008,25.913,BRL,JPY,1736432798
BRL/KRW,239.09,0.05021551,0.12,237.05741,239.60358,BRL,KRW,1736432529
BRL/MXN,3.3527,0.3562,0.0119,3.31315,3.35666,BRL,MXN,1736432798
BRL/PEN,0.6183,-0.0323363,-0.0002,0.6125,0.6193,BRL,PEN,1736432798
BRL/RSD,18.57946,3.2192,0.57946,18.44251,18.61308,BRL,RSD,1736430947
BRL/RUB,16.7663,-2.58384,-0.4447,16.56639,17.211,BRL,RUB,1736432745
BRL/SEK,1.82767,0.23972,0.00437082,1.80704,1.82958,BRL,SEK,1736432745
BRL/SGD,0.2242,0.32233,0.000720335,0.22192,0.22445,BRL,SGD,1736432745
BRL/USD,0.16398,0.11972,0.000196084523,0.16228,0.16408,BRL,USD,1736432802
BRL/XAG,0.00541096,-0.43829,-0.000023819998,0.00535117,0.00545435,BRL,XAG,1736432783
BRL/XAU,0.000061395834,-0.19493,-0.000000119914,0.000060813379,0.000061635181,BRL,XAU,1736432783
BRL/ZAR,3.08886,0.07001652,0.0021612,3.05459,3.10412,BRL,ZAR,1736432745
BSD/EUR,0.97069,0.29121,0.00281848,0.96768,0.97733,BSD,EUR,1736425143
BSD/GBP,0.81367,0.765,0.0061773,0.80775,0.81367,BSD,GBP,1736425143
BSD/USD,1.00006,0.00558787,0.000055878701,0.99326,1.00006,BSD,USD,1736425143
BTN/EUR,0.01128541,0,0,0.01126126,0.01128541,BTN,EUR,1732205465
BTN/GBP,0.00948113,0.99492,0.000093400106,0.00937356,0.00948113,BTN,GBP,1736425143
BWP/CHF,0.06505128,-0.43056,-0.000281298128,0.06433039,0.06505128,BWP,CHF,1736425142
BWP/EUR,0.06927018,-0.47388,-0.000329822492,0.06850253,0.06927018,BWP,EUR,1736425142
BWP/GBP,0.05806192,-0.02252874,-0.000013083563,0.05741848,0.05810913,BWP,GBP,1736425142
BWP/USD,0.07136214,-0.50691,-0.000363583131,0.07057131,0.07136214,BWP,USD,1736425142
BWP/ZAR,1.34579,-0.40789,-0.0055118,1.34397,1.35351,BWP,ZAR,1736432797
BZD/EUR,0.48328,0.5606,0.00269417,0.48047,0.49525,BZD,EUR,1736425143
BZD/GBP,0.40509,1.02047,0.00409204,0.40111,0.41512,BZD,GBP,1736425143
BZD/USD,0.49817,-0.3512,-0.00175573,0.48613,0.49993,BZD,USD,1736425143
CAD/AED,2.5512,0.04317197,0.00110093,2.5456,2.56003,CAD,AED,1736432802
CAD/ARS,720.18518,-0.02560115,-0.18442,718.82654,721.06876,CAD,ARS,1736432759
CAD/AUD,1.12034,0.14615,0.001635,1.1189,1.1247,CAD,AUD,1736432800
