Ticker,Name,Market Cap From (USD),Market Cap To (USD),Absolute Change (USD),Percentage Change (%),Rank From,Rank To,Rank Change,Market Share From (%),Market Share To (%)
JILL,"J.Jill, Inc.",197016995.00,197016995.00,0.00,0.00,119,119,0,0.0093,0.0093
4012.SR,Thob Al Aseel Company,393600000.00,393600000.00,0.00,0.00,107,107,0,0.0187,0.0187
RMS.PA,Hermès International Société en commandite par actions,257070687846.02,257070687846.02,0.00,0.00,2,2,0,12.1950,12.1950
FRAS.L,Frasers Group plc,41080433.90,41080433.90,0.00,0.00,140,140,0,0.0019,0.0019
DBI,Designer Brands Inc.,174791341.00,174791341.00,0.00,0.00,121,121,0,0.0083,0.0083
PUM.DE,PUMA Se,3190265031.54,3190265031.54,0.00,0.00,53,53,0,0.1513,0.1513
SKX,"Skechers U.S.A., Inc.",9467387874.00,9467387874.00,0.00,0.00,28,28,0,0.4491,0.4491
MEKKO.HE,Marimekko Oyj,578390830.67,578390830.67,0.00,0.00,100,100,0,0.0274,0.0274
002269.SZ,"Shanghai Metersbonwe Fashion and Accessories Co., Ltd.",703002651.86,703002651.86,0.00,0.00,94,94,0,0.0333,0.0333
NXT.MC,"Nueva Expresión Textil, S.A.",254681176.77,254681176.77,0.00,0.00,114,114,0,0.0121,0.0121
ANF,Abercrombie & Fitch Co.,4690959318.00,4690959318.00,0.00,0.00,46,46,0,0.2225,0.2225
FL,"Foot Locker, Inc.",2521648974.00,2521648974.00,0.00,0.00,60,60,0,0.1196,0.1196
EL.PA,EssilorLuxottica S.A.,146813543584.16,146813543584.16,0.00,0.00,5,5,0,6.9646,6.9646
CFR.SW,Compagnie Financière Richemont S.A.,99237318114.87,99237318114.87,0.00,0.00,9,9,0,4.7077,4.7077
TJX,"The TJX Companies, Inc.",152326754800.00,152326754800.00,0.00,0.00,4,4,0,7.2261,7.2261
LEVI,Levi Strauss & Co.,8431386612.00,8431386612.00,0.00,0.00,32,32,0,0.4000,0.4000
ECK.DE,LUDWIG BECK am Rathauseck - Textilhaus Feldmeier AG,56655196.23,56655196.23,0.00,0.00,137,137,0,0.0027,0.0027
7936.T,ASICS Corporation,20375634712.20,20375634712.20,0.00,0.00,17,17,0,0.9666,0.9666
SVV,"Savers Value Village, Inc.",1774893732.00,1774893732.00,0.00,0.00,69,69,0,0.0842,0.0842
CAL,"Caleres, Inc.",524186817.00,524186817.00,0.00,0.00,103,103,0,0.0249,0.0249
GEO.MI,Geox S.p.A.,133933102.75,133933102.75,0.00,0.00,125,125,0,0.0064,0.0064
7606.T,United Arrows Ltd.,403154906.65,403154906.65,0.00,0.00,106,106,0,0.0191,0.0191
